bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,sqft_garage,sqft_patio,yr_renovated,lat,long,waterfront_YES,greenbelt_YES,view_EXCELLENT,view_FAIR,view_GOOD,view_NONE,condition_Fair,condition_Good,condition_Very Good,grade_11 Excellent,grade_12 Luxury,grade_13 Mansion,grade_3 Poor,grade_4 Low,grade_5 Fair,grade_6 Low Average,grade_7 Average,grade_8 Good,grade_9 Better,heat_source_Gas/Solar,sewer_system_PRIVATE RESTRICTED,sewer_system_PUBLIC,city_Bellevue,city_Bothell,city_Clyde Hill,city_Fall City,city_Hunts Point,city_Issaquah,city_Kenmore,city_Kirkland,city_Lake Forest Park,city_Medina,city_Mercer Island,city_Newcastle,city_Redmond,city_Redondo,city_Sammamish,city_Seattle,city_Shoreline,city_Skykomish,city_Woodinville,city_Yarrow Point
4,1.0,1180,7140,1.0,1180,0,0,40,0,47.461975,-122.19052,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.5,2770,6703,1.0,1570,1570,0,240,0,47.711525,-122.35591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2.0,2880,6156,1.0,1580,1580,0,0,0,47.502045,-122.2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,3.0,2160,1400,2.0,1090,1070,200,270,0,47.56611,-122.2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2.0,1120,758,2.0,1120,550,550,30,0,47.53247,-122.07188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,1190,5688,1.0,1190,0,300,0,0,47.76347,-122.340155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3.0,2080,27574,1.0,2080,0,0,150,0,47.45547,-122.36722,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.5,2214,3506,2.0,2214,0,440,206,0,47.378355,-122.178625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.5,2340,8125,2.0,2340,0,440,70,0,47.29377,-122.36932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.5,2980,5859,2.0,2980,0,540,170,0,47.73317,-121.965305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
